category,phenotype,phe_code,all_7_days_mwu_stat,all_7_days_pvalue,all_7_days_c_pvalue,all_14_days_mwu_stat,all_14_days_pvalue,all_14_days_c_pvalue,all_21_days_mwu_stat,all_21_days_pvalue,all_21_days_c_pvalue,all_28_days_mwu_stat,all_28_days_pvalue,all_28_days_c_pvalue,all_3_months_mwu_stat,all_3_months_pvalue,all_3_months_c_pvalue,all_6_months_mwu_stat,all_6_months_pvalue,all_6_months_c_pvalue,all_9_months_mwu_stat,all_9_months_pvalue,all_9_months_c_pvalue,all_1_year_mwu_stat,all_1_year_pvalue,all_1_year_c_pvalue,new_7_days_mwu_stat,new_7_days_pvalue,new_7_days_c_pvalue,new_14_days_mwu_stat,new_14_days_pvalue,new_14_days_c_pvalue,new_21_days_mwu_stat,new_21_days_pvalue,new_21_days_c_pvalue,new_28_days_mwu_stat,new_28_days_pvalue,new_28_days_c_pvalue,new_3_months_mwu_stat,new_3_months_pvalue,new_3_months_c_pvalue,new_6_months_mwu_stat,new_6_months_pvalue,new_6_months_c_pvalue,new_9_months_mwu_stat,new_9_months_pvalue,new_9_months_c_pvalue,new_1_year_mwu_stat,new_1_year_pvalue,new_1_year_c_pvalue
circulatory system,Rheumatic disease of the heart valves,394.0,1333637.0,0.2826247349093757,0.33553153914965733,2631406.0,0.0015237922054081,0.003563822424330728,3938912.5,0.0019777123376735,0.0043987799686278405,5490212.0,0.0046149166034304,0.009443400776033787,12818816.5,7.76249384759324e-05,0.0001831877819158678,18224808.5,2.1344426445542217e-05,5.184357192600231e-05,19896652.0,7.348053049091801e-06,1.8583119667630715e-05,20835538.5,3.670254046423913e-06,9.48828638668108e-06,1323986.5,0.2810319327570029,0.33243608892916227,2611376.0,0.001495721944988,0.003498172119002433,3908914.5,0.0019352311077631,0.004313775068405924,5447710.0,0.0045076260090627,0.009205332632965562,12711128.0,7.353443577773416e-05,0.00017513028842697147,18070038.5,1.9965812586108413e-05,4.873044111442973e-05,19727454.0,6.831904113172068e-06,1.727778648910907e-05,20658476.5,3.401332095885796e-06,8.77141552806017e-06
circulatory system,Mitral valve disease,394.2,38804732.5,4.277435478996985e-31,4.94672832453416e-30,88022369.0,6.206599947505974e-55,8.395684523585785e-54,135585524.0,2.462963622168909e-65,3.461832202270744e-64,178655511.5,6.966093194311193e-73,9.978192645935894e-72,386018767.0,3.603215698484408e-131,6.327002480728554e-130,516828394.5,1.6312909492574212e-162,3.0353663734397016e-161,573736715.5,1.6131726940842566e-178,3.186777001332484e-177,593832695.0,1.5797248731455218e-181,3.1207017777044553e-180,35967576.0,2.669320743177537e-33,3.0869909300511986e-32,81282615.0,6.502159004633328e-59,9.039807171719389e-58,125065911.0,2.6559127169900864e-70,3.8396909565628105e-69,164529735.5,7.389756044579942e-79,1.0585044925827892e-77,354226530.5,1.1638447735479249e-141,2.153112831063661e-140,473835089.5,2.3312019967014485e-175,4.4165681464780175e-174,526186400.0,2.0069521850894345e-192,4.040921034208919e-191,544841036.0,1.3643031621096126e-195,2.746971943709162e-194
circulatory system,Aortic valve disease,394.3,19860823.5,3.1649100091477305e-20,2.659065417942068e-19,44172545.0,2.1655401239289104e-33,2.025893143974616e-32,67060835.5,2.4455928580871825e-35,2.11533330973011e-34,85443546.0,4.2874709763132135e-41,3.963961802645944e-40,193754300.5,1.6220297533979282e-70,1.7504404422085975e-69,268218253.0,4.974491929692019e-85,5.696066583229763e-84,302069916.0,7.325966851785676e-90,8.428887136065497e-89,316168307.0,7.22389244130266e-91,8.403794873382096e-90,19261495.0,2.1918131525386447e-20,1.8105481755844436e-19,42814584.0,1.2085958471136441e-33,1.1099123329915208e-32,64952385.0,1.1210634530883564e-35,9.533749701894259e-35,82729973.5,1.68101084730316e-41,1.5129097625728442e-40,187109350.5,2.5676487142416737e-71,2.7423547092313137e-70,258755067.0,4.445838995347938e-86,5.0353959056006e-85,291383681.0,4.910731188138632e-91,5.650039070308955e-90,304979309.0,4.375785414517669e-92,5.034557504395604e-91
circulatory system,Acute rheumatic heart disease,394.4,1407535.5,0.0210894738842774,0.04146190565648946,2607749.5,0.0139404512318232,0.0271486219514691,4159813.5,0.0070936429856931,0.014318335072026022,5418189.5,0.0032813615501822,0.0069092022702594395,10271132.0,7.581590641664151e-05,0.0001793271211133347,12715078.5,1.6807273016679553e-05,4.169804400804784e-05,13815701.5,3.1938124415605786e-05,7.489054192524537e-05,14034953.5,1.74847554927071e-05,4.237624768718596e-05,1401951.5,0.0209791546159214,0.04116269258972212,2596872.0,0.0138290274438411,0.026827241223420555,4142261.0,0.0070129209294593,0.014109494991278096,5395908.0,0.0032402173851145,0.006822569525179156,10227332.5,7.413064076813516e-05,0.00017614528402703675,12660376.0,1.6379386311246047e-05,4.053995376797715e-05,13756218.5,3.112224834739649e-05,7.299202546391106e-05,13974590.5,1.7028535767913596e-05,4.07983454210653e-05
circulatory system,Disease of tricuspid valve,394.7,10116832.0,0.0074403785179302,0.016930305747975487,24711809.5,0.0013508017014927,0.003181535301633518,41888848.0,0.0094298894626079,0.018494279333641873,60588471.5,0.0480201821553728,0.0753650081049601,124897472.0,0.0058771395414198,0.011090558406030964,160312749.0,0.0030226710051889,0.005876162663072609,170802438.5,0.000985998147859,0.002035794882965728,175993769.0,0.0018025102708663,0.0035878864136826482,9999190.5,0.0068070041253303,0.015525023329929805,24418357.5,0.0011793114008923,0.0027776252053957743,41390858.5,0.0082342868640949,0.01630743308505689,59867858.0,0.0427524936293567,0.06868765564147844,123327576.0,0.0048403615845556,0.009201127709357134,158264850.5,0.002422986393988,0.004754711530198798,168628595.0,0.0007693647995927,0.0016046313648877574,173762335.5,0.001420639578255,0.0028494437517874393
circulatory system,Heart valve disorders,395.0,282094.5,0.2739346189794268,0.3271904379790724,602639.0,0.4745665525705032,0.4803246907210048,721761.0,0.4767648523973229,0.48345293649908905,811986.0,0.4694939999715428,0.47747539797105903,1164949.5,0.2799743156835888,0.32050098458364423,1386120.5,0.1695180353671476,0.20953474834231062,1436936.0,0.1696705689856462,0.20931528907958055,1455300.0,0.1697630901032998,0.20984882566488192,281779.5,0.2742897363509584,0.3276145939647535,601866.0,0.4752460595874544,0.48052657136064836,720875.0,0.4774252020659019,0.48509468322358706,810957.0,0.4701610490497779,0.4771993881074093,1162503.5,0.2794504601981067,0.319195895000263,1383211.5,0.1690907180059859,0.20875891962350399,1433947.0,0.1692461346805754,0.20871696467675202,1452287.0,0.1693428113536031,0.2090824569424794
circulatory system,Nonrheumatic mitral valve disorders,395.1,33605618.5,7.9486767155767e-31,9.085522338851042e-30,76636768.5,1.6434738632120424e-52,2.109124791122121e-51,119209238.0,1.5807133334241567e-62,2.07750895250032e-61,158167796.5,7.964299699359096e-68,1.0252775688921773e-66,346556199.5,6.433120154051457e-122,1.0925758163274277e-120,463767990.0,1.2074087323595568e-150,2.1691722398597554e-149,516002509.0,5.864614305521544e-165,1.0772370487510626e-163,533104511.0,4.816367256894128e-168,8.84690617187395e-167,31222486.0,7.798076144041527e-33,8.913382383247466e-32,70953110.5,4.5505972643820305e-56,5.993615607429492e-55,110262951.5,5.725590063394654e-67,7.624075189678145e-66,146092972.5,4.46621005637846e-73,5.898877438099863e-72,318975735.5,3.2767122521905707e-131,5.6577898221157186e-130,426449418.0,5.029418468891493e-162,9.19412990278059e-161,474670087.5,3.0675803908982744e-177,5.839557580491806e-176,490594736.5,1.793935593835629e-180,3.478241790270192e-179
circulatory system,Nonrheumatic aortic valve disorders,395.2,4705298.5,1.44383469708115e-07,6.224953979082326e-07,10131544.5,8.554273948089752e-13,4.239023872295961e-12,16099189.5,2.9959629978621485e-13,1.39719564692926e-12,20824164.0,4.456261164397544e-15,2.2000085457244185e-14,46184705.5,2.040494304623952e-24,1.1304556682301681e-23,65381606.5,2.96704058165915e-27,1.6444980245153375e-26,74614438.5,3.751540544828525e-27,2.0564727489190924e-26,78249699.5,3.984801986374406e-27,2.1843390993371746e-26,4647061.5,1.44386374936953e-07,6.091493843906644e-07,10001964.5,8.639318158140567e-13,4.260077574531383e-12,15888849.5,2.9936520417304664e-13,1.3897137001060696e-12,20548194.5,4.422062180741976e-15,2.1725783757558404e-14,45513326.5,2.0069175351822377e-24,1.0942981928677885e-23,64395829.0,2.8452053466474e-27,1.5603705111613633e-26,73480519.0,3.50983824443725e-27,1.9139586676696877e-26,77055590.0,3.681752298550312e-27,2.0077055503032168e-26
circulatory system,Nonrheumatic tricuspid valve disorders,395.3,4394542.5,6.113491671404267e-25,5.834526517466402e-24,11934969.5,4.395280450605151e-44,4.8885285900619516e-43,19052734.5,1.1791824382364122e-58,1.455283692067377e-57,26625680.5,2.626399658610866e-66,3.2181306660328324e-65,62625801.5,2.252977676013086e-101,3.197376537465147e-100,89359579.0,3.3706938055904828e-118,5.0175184934646906e-117,97319872.5,6.81261934951999e-127,1.0807291604465803e-125,100112183.5,7.582268940560462e-131,1.2028235728434552e-129,4171327.5,1.3225270548589043e-25,1.2621787329381582e-24,11304152.5,2.292423838664477e-45,2.549684736114602e-44,18035415.5,2.16178397951921e-60,2.700895539843754e-59,25183293.5,1.9761981418689646e-68,2.4214379641936593e-67,59165784.5,5.660064683684448e-105,8.032639742872723e-104,84471305.0,1.6196472738804427e-122,2.481871263799149e-121,92012441.0,1.7141354967825848e-131,2.7192422198960097e-130,94666917.5,1.524748195017806e-135,2.4188050911873375e-134
circulatory system,Nonrheumatic pulmonary valve disorders,395.4,4140636.0,0.0421774351868032,0.0745690985406972,9187544.5,0.1662522620341544,0.21445684831983067,13525534.5,0.2051431654256718,0.2477385243565392,18151837.5,0.1916688071462446,0.23428747219679183,41528398.0,0.1207386528236015,0.16077794900417897,53014595.5,0.0329537782400506,0.051403947494210796,59524002.0,0.0839962595856518,0.11603640488909242,62841185.0,0.1223558456441692,0.1613432876441376,4050410.0,0.0404515336130212,0.07177591614007198,8981307.5,0.1603288208648509,0.20869850414267335,13217006.0,0.1976174807802543,0.24095047054170773,17732054.0,0.1836533501933475,0.22749751174985927,40495988.5,0.1128064428847202,0.15157908538076548,51655609.5,0.0297029812356954,0.04675303088760529,57994591.0,0.0767488282331453,0.10671450618871607,61227396.0,0.1126017738626404,0.1498018516317466
circulatory system,Heart valve replaced,395.6,41886182.0,6.623128272534385e-33,7.939676941343049e-32,91143796.0,9.829771592733674e-45,1.1309886625662537e-43,134846752.0,1.0529386724854064e-51,1.158232539733947e-50,175498464.0,1.8479141615960987e-57,2.0207835509067015e-56,348972401.0,6.880944181128923e-82,8.100747922329052e-81,439969472.0,2.194211012646611e-106,3.008378783128643e-105,476505418.5,1.396674854306404e-111,1.9497580966117403e-110,489426992.0,2.575167669939456e-115,3.6435142573332564e-114,40756204.0,2.080729217512357e-33,2.4349485962079132e-32,88569909.5,1.3017033210731032e-45,1.4640505892069397e-44,130963990.0,8.604790929683477e-53,9.675609356488531e-52,170412062.0,1.1089649095860708e-58,1.2127067882247678e-57,338170117.0,6.899141658421573e-84,8.122171316050852e-83,426125893.0,5.56927497609197e-109,7.536603279334846e-108,461576705.5,2.456818636462546e-114,3.384590937337218e-113,474116326.5,3.7600992635541484e-118,5.3200323364070165e-117
